month,day,year,capturetime,releasetime,bandnumber,species,age,sex,wing,hallux,tail,standardtail,tarsus,wingpitfat,keelfat,crop
9,19,1992,13:30,,877-76317,RT,I,,385.0,30.1,219,,,,,
9,22,1992,10:30, ,877-76318,RT,I,,376.0,,221,,,,,
9,23,1992,12:45, ,877-76319,RT,I,,381.0,31.3,235,,,,,
9,23,1992,10:50, ,745-49508,CH,I,F,265.0,23.5,220,,,,,
9,27,1992,11:15, ,1253-98801,SS,I,F,205.0,14.3,157,,,,,
9,28,1992,11:25, ,1207-55910 ,RT,I,,412.0,32.2,230,,,,,
9,28,1992,13:30, ,877-76320,RT,I,,370.0,30.1,212,,,,,
9,29,1992,11:45, ,877-76321,RT,A,,375.0,30.0,243,,,,,
9,29,1992,15:35, ,877-76322,RT,A,,412.0,31.3,210,,,,,
9,30,1992,13:45, ,1207-55911,RT,I,,405.0,30.2,238,,,,,
10,5,1992,13:30, ,877-76323,RT,I,,393.0,30.8,222,,,,,
10,8,1992,13:45, ,877-76324,RT,I,,371.0,29.7,217,,,,,
10,9,1992,12:30, ,877-76325,RT,A,,390.0,30.9,213,,,,,
10,10,1992,11:05, ,1207-55917,RT,A,,393.0,30.6,238,,,,,
10,11,1992,11:00, ,1207-55912,RT,I,,416.0,34.0,243,,,,,
10,11,1992,11:45, ,1207-55913,RT,A,,436.0,34.0,232,,,,,
10,11,1992,12:40, ,877-76326,RT,I,,418.0,31.0,238,,,,,
10,11,1992,14:20, ,877-76327,RT,A,,381.0,28.9,202,,,,,
10,12,1992,13:40, ,877-76328,RT,I,,378.0,28.2,227,,,,,
10,13,1992,11:00, ,877-76329,RT,I,,396.0,26.9,227,,,,,
10,13,1992,14:50, ,877-76330,RT,I,,399.0,31.2,222,,,,,
10,14,1992,13:15, ,877-76331,RT,I,,416.0,31.6,237,,,,,
10,17,1992,12:10, ,877-76332,RT,I,,415.0,30.7,238,,,,,
10,22,1992,13:05, ,877-76333,RT,A,,392.0,30.3,213,,,,,
10,23,1992,11:45, ,877-76334,RT,I,,380.0,30.0,211,,,,,
10,23,1992,16:05, ,1173-19901,SS,I,M,173.0,,130,,,,,
10,24,1992,14:35, ,877-76335,RT,I,,399.0,32.5,190,,,,,
10,25,1992,12:05, ,1207-55914,RT,A,,401.0,31.6,245,,,,,
10,27,1992,10:05, ,1253-98802,SS,I,F,205.0,15.0,164,,,,,
10,27,1992,10:45, ,608-48703,RT,I,,427.0,32.4,246,,,,,
10,27,1992,15:15, ,1207-55915,RT,A,,395.0,31.4,207,,,,,
10,30,1992,11:05, ,877-76336,RT,I,,362.0,27.9,209,,,,,
11,3,1992,10:15, ,1207-55916,RT,A,,396.0,29.7,200,,,,,
11,8,1992,11:45, ,1207-55918,RT,A,,391.0,32.4,215,,,,,
11,8,1992,13:30, ,1207-55919,RT,A,,413.0,31.3,219,,,,,
11,13,1992,10:45, ,987-53707,RT,A,,371.0,27.2,198,,,,,
11,16,1992,11:15, ,1207-55920,RT,A,,385.0,30.1,207,,,,,
11,21,1992,14:00, ,877-76337,RT,A,,378.0,31.3,204,,,,,
11,22,1992,10:08, ,1207-55921,RT,A,,416.0,30.8,205,,,,,
9,13,1993,14:25, ,173-19904,SS,I,M,193.0,101.0,144,,,,,
9,17,1993,15:25, ,193-19905,SS,I,M,171.0,11.5,136,,,,,
9,20,1993,13:45, ,120407-804,CH,I,,233.0,19.3,191,,,,,
9,21,1993,15:11, ,877-76339,RT,I,,384.0,31.2,230,,,,,
9,22,1993,13:50, ,877-76340,RT,I,,382.0,29.4,227,,,,,
9,22,1993,15:55, ,877-76341,RT,I,,390.0,30.3,208,,,,,
9,27,1993,12:15, ,877-76342,RT,I,,390.0,28.3,231,,,,,
9,27,1993,13:00, ,877-76344,RT,I,,393.0,29.8,222,,,,,
9,27,1993,13:20, ,877-76345,RT,I,,378.0,31.2,225,,,,,
9,27,1993,15:03, ,877-76346,RT,I,,398.0,30.9,225,,,,,
9,28,1993,11:50, ,877-76347,RT,I,,412.0,31.55,233,,,,,
9,28,1993,12:45, ,877-76348,RT,I,,400.0,29.3,214,,,,,
9,29,1993,09:53, ,877-76349,RT,I,,422.0,28.3,233,,,,,
9,29,1993,10:25, ,1253-98803,SS,I,F,202.0,13.7,158,,,,,
9,29,1993,15:30, ,877-76350,RT,I,,394.0,31.6,245,,,,,
9,30,1993,13:25, ,787-53708,RT,I,,369.0,26.5,210,,,,,
10,1,1993,10:20, ,745-49512,CH,I,F,252.0,20.8,230,,,,,
10,1,1993,10:45, ,745-49513,CH,A,M,240.0,19.3,192,,,,,
10,3,1993,13:35, ,1207-55922,RT,I,,410.0,31.4,229,,,,,
10,4,1993,11:25, ,1207-55923,RT,I,,241.0,36.4,235,,,,,
10,7,1993,14:40, ,1207-55924,RT,I,,408.0,33.4,221,,,,,
10,9,1993,09:38, ,877-76351,RT,I,,37.2,26.65,210,,,,,
10,9,1993,10:20, ,877-76552,RT,I,,380.0,26.1,212,,,,,
10,10,1993,11:25, ,1207-55927,RT,I,,396.0,32.5,225,,,,,
10,10,1993,13:27, ,877-76353,RT,I,,326.0,27.7,215,,,,,
10,11,1993,11:35, ,1173-19906,SS,I,M,158.0,10.5,122,,,,,
10,11,1993,14:00, ,877-76354,RT,I,,416.0,32.7,235,,,,,
10,12,1993,13:15, ,745-49515,CH,I,F,271.0,24.75,232,,,,,
10,13,1993,09:23, ,1173-19907,SS,A,M,176.0,11.1,133,,,,,
10,14,1993,14:05, ,1373-35272,SS,A,F,194.0,14.2,154,,,,,
10,21,1993,09:20, ,877-76355,RT,A,,390.0,29.1,209,,,,,
10,21,1993,15:30, ,877-76357,RT,A,,391.0,29.4,212,,,,,
10,22,1993,16:35, ,877-76358,RT,A,,387.0,31.0,209,,,,,
10,23,1993,13:05, ,1207-55941,RT,I,,420.0,34.3,250,,,,,
10,25,1993,14:12, ,877-76359,RT,A,,435.0,30.6,235,,,,,
10,26,1993,15:55, ,877-76360,RT,A,,400.0,28.6,222,,,,,
10,31,1993,11:35, ,1207-55947,RT,I,,398.0,31.5,236,,,,,
11,5,1993,11:00, ,877-76361,RT,I,,395.0,28.9,210,,,,,
11,18,1993,10:37, ,877-76362,RT,I,,410.0,33.2,239,,,,,
9,6,1994,09:55, ,1387-99101,RT,I,,369.0,31.5,228,,,,,
9,6,1994,10:40, ,1387-99102,RT,I,,372.0,31.1,220,,,,,
9,7,1994,12:27, ,1387-99104,RT,I,,415.0,33.5,233,,,,,
9,7,1994,13:35, ,1387-99103,RT,I,,412.0,32.6,236,,,,,
9,8,1994,12:10, ,1423-16201,SS,I,F,205.0,14.4,155,,,,,
9,9,1994,09:02, ,2003-58433,SS,I,F,204.0,14.8,152,,,,,
9,9,1994,10:47, ,872-09611,SS,I,M,170.0,11.3,135,,,,,
9,12,1994,11:24, ,1204-45804,CH,A,M,233.0,19.4,186,,,,,
9,12,1994,13:50, ,1387-97105,RT,I,,375.0,30.0,216,,,,,
9,13,1994,11:58, ,1387-79106,RT,I,,385.0,31.4,233,,,,,
9,15,1994,12:45, ,1207-64601,RT,I,,422.0,32.0,248,,,,,
9,15,1994,13:20, ,1387-79107,RT,I,,391.0,32.2,221,,,,,
9,15,1994,13:35, ,1387-79108,RT,I,,410.0,308.0,227,,,,,
9,16,1994,10:23, ,1387-79109,RT,I,,385.0,27.8,223,,,,,
9,16,1994,11:20, ,1387-79111,RT,I,,381.0,29.8,219,,,,,
8,18,1994,12:05, ,1207-64602,RT,A,,416.0,31.3,225,,,,,
9,18,1994,13:20, ,1207-64603,RT,I,,406.0,33.7,238,,,,,
9,19,1994,12:58, ,1207-64604,RT,I,,418.0,341.4,235,,,,,
9,19,1994,14:05, ,1207-64605,RT,I,,412.0,33.8,222,,,,,
9,20,1994,09:05, ,2003-58435,SS,A,F,208.0,14.8,155,,,,,
9,20,1994,09:33, ,2003-58436,SS,I,F,208.0,14.9,160,,,,,
9,20,1994,11:04, ,1423-16203,SS,I,M,175.0,11.5,137,,,,,
9,20,1994,12:10, ,1423-16204,SS,I,M,166.0,11.3,127,,,,,
9,29,1994,13:55, ,1387-79112,RT,I,,405.0,29.9,238,,,,,
9,20,1994,14:00, ,2003-58437,SS,A,F,198.0,143.0,150,,,,,
9,29,1994,14:45, ,2003-58438,SS,I,F,200.0,14.4,150,,,,,
9,21,1994,13:50, ,1387-79113,RT,I,,380.0,28.7,229,,,,,
9,23,1994,11:48, ,1387-79114,RT,I,,381.0,29.1,227,,,,,
9,26,1994,10:28, ,872-09612,SS,I,M,169.0,10.2,129,,,,,
9,26,1994,10:54, ,2206-35417,CH,I,F,260.0,23.9,220,,,,,
9,26,1994,12:10, ,1207-64606,RT,I,,428.0,34.7,245,,,,,
9,26,1994,14:02, ,1207-64607,RT,I,,400.0,31.4,223,,,,,
9,27,1994,08:00, ,1705-24603,CH,I,F,265.0,22.5,224,,,,,
9,27,1994,11:55, ,1423-16205,SS,I,M,177.0,11.3,133,,,,,
9,27,1994,15:40, ,1307-79115,RT,I,,381.0,31.7,210,,,,,
9,28,1994,09:25, ,1387-79116,RT,I,,403.0,29.7,234,,,,,
9,28,1994,11:10, ,1387-79117,RT,I,,382.0,29.0,219,,,,,
9,28,1994,11:38, ,1387-79118,RT,I,,382.0,29.0,216,,,,,
9,28,1994,13:02, ,1387-79119,RT,I,,399.0,29.9,230,,,,,
9,29,1994,13:55, ,1387-79120,RT,I,,380.0,29.0,223,,,,,
9,29,1994,13:16, ,1387-79121,RT,I,,375.0,30.6,220,,,,,
9,30,1994,10:39, ,1207-64608,RT,I,,420.0,32.6,241,,,,,
10,3,1994,11:13, ,872-09613,SS,I,M,170.0,11.0,136,,,,,
10,3,1994,13:07, ,872-09614,SS,A,M,177.0,11.3,137,,,,,
10,4,1994,13:37, ,1387-79122,RT,I,,375.0,29.5,223,,,,,
10,4,1994,14:45, ,1207-64609,RT,I,,395.0,31.7,238,,,,,
10,5,1994,11:55, ,872-09615,SS,A,M,170.0,11.2,126,,,,,
10,5,1994,13:55, ,1207-64610,RT,I,,406.0,32.0,235,,,,,
10,5,1994,15:17, ,1207-64611,RT,I,,414.0,33.0,240,,,,,
10,5,1994,16:00, ,872-09616,SS,I,M,173.0,19.4,137,,,,,
10,6,1994,10:45, ,2003-58439,SS,I,F,209.0,13.9,160,,,,,
10,6,1994,11:23, ,872-09617,SS,I,M,177.0,12.1,140,,,,,
10,7,1994,10:50, ,1387-79123,RT,I,,388.0,29.8,220,,,,,
10,7,1994,11:24, ,1387-79124,RT,I,,277.0,30.4,218,,,,,
10,7,1994,12:15, ,1207-64612,RT,I,,423.0,34.1,234,,,,,
10,7,1994,15:40, ,1387-79125,RT,I,,365.0,30.8,232,,,,,
10,7,1994,16:35, ,1387-79126,RT,I,,383.0,31.8,221,,,,,
10,10,1994,11:02, ,1387-79127,RT,I,,391.0,30.9,220,,,,,
10,10,1994,12:01, ,1387-79128,RT,I,,389.0,30.3,232,,,,,
10,10,1994,12:23, ,1387-79129,RT,I,,392.0,29.8,214,,,,,
10,10,1994,13:10, ,1387-79130,RT,I,,375.0,29.9,225,,,,,
10,10,1994,13:50, ,1207-64613,RT,I,,410.0,28.9,238,,,,,
10,10,1994,15:07, ,872-09618,SS,I,M,179.0,11.6,133,,,,,
10,11,1994,08:52, ,872-09619,SS,I,M,172.0,10.8,136,,,,,
10,11,1994,12:36, ,2003-58440,SS,A,F,202.0,14.1,151,,,,,
10,12,1994,11:15, ,1423-16206,SS,I,M,174.0,11.0,131,,,,,
10,13,1994,13:05, ,1207-64614,RT,I,,422.0,31.3,238,,,,,
10,13,1994,14:00, ,1387-79131,RT,I,,385.0,27.5,229,,,,,
10,16,1994,12:05, ,1387-79132,RT,I,,363.0,28.8,202,,,,,
10,16,1994,11:30, ,1207-64615,RT,I,,450.0,32.8,226,,,,,
10,18,1994,10:00, ,1287-79133,RT,I,,380.0,30.1,220,,,,,
10,18,1994,12:35, ,1387-79134,RT,I,,385.0,30.1,215,,,,,
10,18,1994,13:30, ,1387-79135,RT,I,,385.0,30.2,122,,,,,
10,19,1994,09:08, ,872-09620,SS,I,M,171.0,11.5,134,,,,,
10,19,1994,10:46, ,1387-79136,RT,I,,380.0,26.5,215,,,,,
10,19,1994,11:27, ,1387-79137,RT,I,,384.0,30.7,208,,,,,
10,19,1994,12:15, ,1387-79138,RT,I,,373.0,32.1,211,,,,,
10,19,1994,12:55, ,1387-79139,RT,I,,381.0,34.2,220,,,,,
10,19,1994,13:35, ,1387-79140,RT,I,,363.0,30.4,204,,,,,
10,19,1994,13:50, ,1387-79141,RT,I,,409.0,31.6,229,,,,,
10,20,1994,12:00, ,1387-79142,RT,A,,390.0,29.0,205,,,,,
10,21,1994,10:12, ,2003-58441,SS,I,F,204.0,14.3,155,,,,,
10,22,1994,14:45, ,1423-16207,SS,I,F,197.0,13.9,150,,,,,
10,23,1994,11:06, ,1387-79143,RT,I,,420.0,27.4,244,,,,,
10,23,1994,11:36, ,1387-79144,RT,I,,381.0,28.2,225,,,,,
10,23,1994,13:09, ,1207-64616,RT,I,,408.0,33.9,239,,,,,
10,23,1994,14:25, ,1387079145,RT,I,,388.0,30.7,222,,,,,
10,23,1994,15:00, ,1387-79146,RT,A,,398.0,31.4,209,,,,,
10,24,1994,09:05, ,1423-16208,SS,I,F,209.0,14.6,164,,,,,
10,25,1994,10:25, ,2003-58442,SS,I,F,209.0,15.1,159,,,,,
10,25,1994,14:00, ,1387-079147,RT,A,,394.0,29.7,211,,,,,
10,25,1994,14:19, ,1423-11209,SS,A,F,204.0,15.2,160,,,,,
10,26,1994,9.12, ,1423-16210,SS,I,F,204.0,14.3,157,,,,,
10,26,1994,10:29, ,2003-58443,SS,I,F,209.0,14.4,160,,,,,
10,26,1994,11:39, ,1387-79148,RT,I,,394.0,29.2,216,,,,,
10,26,1994,14:55, ,1207-64617,RT,I,,416.0,31.8,250,,,,,
10,26,1994,15:40, ,1207-64618,RT,I,,445.0,34.6,260,,,,,
10,27,1994,09:15, ,2003-58444,SS,I,F,209.0,14.5,164,,,,,
10,27,1994,10:55, ,1387-79149,RT,I,,388.0,28.9,217,,,,,
10,27,1994,11:50, ,1387-79150,RT,I,,397.0,31.4,228,,,,,
10,27,1994,12:24, ,1387-79151,RT,I,,384.0,30.5,218,,,,,
10,27,1994,13:37, ,1387-79152,RT,I,,379.0,30.9,220,,,,,
10,28,1994,10:05, ,1387-79199,RT,I,,393.0,31.1,227,,,,,
10,28,1994,10:45, ,1387-79153,RT,I,,386.0,30.2,211,,,,,
10,29,1994,11:05, ,1387-79154,RT,I,,397.0,30.6,222,,,,,
10,29,1994,11:50, ,1387-79155,RT,I,,382.0,30.1,225,,,,,
11,1,1994,10:45, ,1387-79156,RT,I,,386.0,30.2,221,,,,,
11,1,1994,11:21, ,1387-79157,RT,I,,417.0,32.4,231,,,,,
11,2,1994,11:41, ,1387-79158,RT,I,,403.0,33.1,235,,,,,
11,2,1994,12:26, ,1204-45805,CH,A,M,239.0,19.2,182,,,,,
11,2,1994,12:20, ,1207-64619,RT,I,,401.0,82.8,235,,,,,
11,2,1994,14:52, ,1387-79159,RT,A,,377.0,29.1,200,,,,,
11,6,1994,09:55, ,1207-64620,RT,A,,432.0,32.9,216,,,,,
11,6,1994,10:30, ,1207-64621,RT,I,,390.0,30.5,223,,,,,
11,6,1994,11:40, ,1387-79160,RT,I,,381.0,29.9,210,,,,,
11,7,1994,11:22, ,1387-79161,RT,I,,403.0,29.9,229,,,,,
11,7,1994,12:47, ,1423-16211,SS,I,F,213.0,15.5,160,,,,,
11,9,1994,09:46, ,872-09621,SS,I,M,172.0,10.8,125,,,,,
11,9,1994,15:02, ,1807-53101,RT,I,,390.0,28.8,226,,,,,
11,11,1994,10:00, ,1423-16212,SS,I,F,204.0,13.9,154,,,,,
11,11,1994,11:59, ,1387-79162,RT,A,,386.0,29.4,207,,,,,
11,11,1994,14:42, ,1387-79163,RT,I,,402.0,30.0,238,,,,,
11,11,1994,15:01, ,1423-16213,SS,I,F,201.0,13.5,151,,,,,
11,11,1994,15:23, ,1423-16214,SS,I,F,202.0,14.8,158,,,,,
11,15,1994,11:40, ,1387-79164,RT,A,,374.0,30.1,197,,,,,
11,16,1994,11:15, ,1807-53103,RT,I,,358.0,28.7,250,,,,,
11,16,1994,12:19, ,1387-79165,RT,I,,370.0,29.8,215,,,,,
11,21,1994,10:40, ,1387-79166,RT,I,,390.0,30.0,214,,,,,
11,21,1994,13:33, ,1387-79167,RT,I,,398.0,29.8,230,,,,,
9,8,1995,13:30, ,1387-170,RT,I,,360.0,28.4,213,,,,,
9,8,1995,14:20, ,1387-79171,RT,I,,355.0,29.0,214,,,,,
9,13,1995,14:30, ,1207-64623,RT,A,,375.0,31.5,224,,,,,
9,13,1995,14:45, ,2003-59463,SS,I,F,200.0,13.2,153,,,,,
9,14,1995,10:05, ,972-09622,SS,I,M,179.0,11.3,131,,,,,
9,15,1995,09:40, ,2003-58464,SS,I,M,175.0,12.7,145,,,,,
9,15,1995,09:50, ,2003-58465,SS,I,F,203.0,14.4,165,,,,,
9,15,1995,11:05, ,2003-58466,SS,I,F,205.0,12.5,168,,,,,
9,17,1995,11:20, ,1343-78401,SS,I,F,213.0,14.4,156,,,,,
9,17,1995,12:15, ,1387-79173,RT,I,,409.0,32.6,215,,,,,
9,17,1995,14:58, ,1343-78402,SS,I,F,202.0,,164,,,,,
9,18,1995,14:20, ,1343-78403,SS,I,F,195.0,14.6,155,,,,,
9,18,1995,15:10, ,1207-64624,RT,I,,415.0,31.8,239,,,,,
9,19,1995,10:05, ,1204-45806,CH,A,M,236.0,20.4,185,,,,,
9,20,1995,10:50, ,1387-79174,RT,I,,363.0,30.2,214,,,,,
9,23,1995,10:10, ,1387-79175,RT,I,,381.0,30.8,232,,,,,
9,26,1995,11:05, ,1387-79176,RT,A,,350.0,29.1,205,,,,,
9,26,1995,13:03, ,1387-79177,RT,I,,398.0,30.8,243,,,,,
9,26,1995,12:55, ,1207-64625,RT,I,,412.0,33.0,255,,,,,
9,26,1995,13:55, ,2003-58467,SS,I,F,203.0,13.9,159,,,,,
9,27,1995,09:40, ,2003-58468,SS,I,F,201.0,14.4,156,,,,,
9,27,1995,12:50, ,1387-79178,RT,I,,411.0,32.7,276,,,,,
9,27,1995,13:55, ,1807-53104,RT,I,,373.0,27.4,210,,,,,
10,1,1995,10:15, ,1423-16221,SS,I,M,178.0,12.1,145,,,,,
10,1,1995,12:04, ,1207-64626,RT,I,,415.0,31.2,231,,,,,
10,1,1995,12:50, ,1387-79179,RT,I,,383.0,29.8,216,,,,,
10,2,1995,13:55, ,1705-24606,CH,I,M,223.0,21.3,210,,,,,
10,3,1995,11:20, ,1387-79180,RT,I,,390.0,32.0,210,,,,,
10,3,1995,11:45, ,1387-79181,RT,I,,390.0,29.8,220,,,,,
10,4,1995,12:20, ,1387-79182,RT,A,,365.0,30.8,260,,,,,
10,4,1995,12:54, ,1387-79183,RT,A,,345.0,30.1,200,,,,,
10,5,1995,11:08, ,1705-24607,CH,I,F,273.0,24.7,213,,,,,
10,6,1995,12:15, ,1207-64627,RT,I,,400.0,32.1,230,,,,,
10,6,1995,12:36, ,1207-64628,RT,I,,380.0,31.1,220,,,,,
10,6,1995,13:05, ,1207-79184,RT,I,,330.0,30.2,220,,,,,
10,6,1995,13:10, ,1207-64629,RT,I,,410.0,28.6,235,,,,,
10,7,1995,12:00, ,1387-79185,RT,I,,313.0,28.9,215,,,,,
10,9,1995,11:35, ,1387-79186,RT,I,,384.0,30.4,215,,,,,
10,9,1995,11:50, ,1207-64660,RT,I,,409.0,31.8,221,,,,,
10,9,1995,12:50, ,1387-79187,RT,I,,390.0,28.6,225,,,,,
10,10,1995,11:50, ,1207-64630,RT,I,,411.0,31.9,238,,,,,
10,10,1995,14:25, ,1705-24608,CH,I,F,259.0,23.4,221,,,,,
10,11,1995,14:25, ,1387-79188,RT,A,,380.0,30.9,212,,,,,
10,11,1995,14:25, ,1387-79189,RT,I,,370.0,30.5,215,,,,,
10,11,1995,13:15, ,1387-79190,RT,I,,415.0,33.9,235,,,,,
10,12,1995,10:37, ,1204-45807,SS,I,F,215.0,12.7,132,,,,,
10,12,1995,13:20, ,1387-79191,RT,I,,410.0,32.7,229,,,,,
10,12,1995,14:20, ,1387-79192,RT,I,,412.0,31.1,251,,,,,
10,12,1995,14:30, ,1207-64631,RT,A,,384.0,28.4,215,,,,,
10,13,1995,12:05, ,1207-64632,RT,I,,404.0,30.4,225,,,,,
